submission,_elapsed,ip_address,user_agent,orig,userid,lastupdated,mygroup,status,om1,om2,sl1,sl2,sl3,sl4,topic,numcompleted,teacher,typedelib,uniqueid,pips1,pips2,pips3,pips4,similar,pips5
1,158657,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574049,1574049,1535647221,,,33,63,59,62,65,65,8,1,2,3,m09212005,57,26,100,72,50,41
1,215738,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574038,1574038,1535647226,,,77,95,83,100,74,100,8,1,2,3,O09072005,100,29,100,50,65,100
1,231215,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574039,1574039,1535647244,,,51,74,65,67,53,61,8,1,2,3,m09302005,77,31,65,70,26,50
1,249382,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574036,1574036,1535647254,,,100,100,97,100,100,100,8,1,2,3,aO3O52OO5,100,0,100,100,50,100
1,237993,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574044,1574044,1535647273,,,100,73,100,82,50,75,8,1,2,3,h04072005,75,50,72,63,85,84
1,212147,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574050,1574050,1535647276,,,84,73,59,66,53,75,8,1,2,3,c03052005,60,40,70,79,40,66
1,219370,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574047,1574047,1535647279,,,70,89,50,60,63,89,8,1,2,3,l06162005,40,0,50,91,32,50
1,224503,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574046,1574046,1535647281,,,50,20,62,20,23,63,8,1,2,3,l022205,90,0,50,100,85,50
1,278210,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574037,1574037,1535647287,,,20,16,39,36,24,36,8,1,2,3,p03242005,1,54,65,35,66,74
1,272308,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574040,1574040,1535647290,,,100,26,74,88,69,100,8,1,2,3,m04082005,100,0,57,75,69,82
1,212244,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574053,1574053,1535647302,,,100,98,100,100,100,100,8,1,2,3,j031205,99,0,100,100,4,50
1,163333,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574059,1574059,1535647310,,,46,40,50,55,32,50,8,1,2,3,l02282005,27,58,43,79,87,92
1,283285,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574042,1574042,1535647316,,,50,50,50,73,86,85,8,1,2,3,c05172005,16,77,0,21,50,50
